,Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,text
20,21,In Da Club,50 Cent,east coast hip hop,2003,90,71,90,-3,7,78,193,26,37,77,"go, go, go, go, go, gogo shorty, it's your birthdaywe gonna party like it's your birthdaywe gonna sip bacardi like it's your birthdayand you know we don't give a fuck it's not your birthdayyou can find me in the club, bottle full of bub'look, mami, i got the x if you into takin' drugsi'm into havin' sex, i ain't into makin' loveso come give me a hug if you're into gettin' rubbedyou can find me in the club, bottle full of bub'look, mami, i got the x if you into takin' drugsi'm into havin' sex, i ain't into makin' loveso come give me a hug if you're into gettin' rubbedwhen i pull up out front, you see the benz on dubswhen i roll twenty deep it's twenty knives in the clubniggas heard i fuck with dre, now they wanna show me lovewhen you sell like eminem and the hoes, they wanna fuckbut homie, ain't nothin' changed: hoes down, g's upi see xzibit in the cut, hey nigga, roll the weed up!if you watch how i move, you'll mistake me for a player or pimpbeen hit with a few shells, but i don't walk with a limpin the hood in l.a. they sayin', ""50, you hot.""they like me, i want 'em to love me like they love pacbut holla in new york, the niggas'll tell you i'm locoand the plan is to put the rap game in a chokeholdi'm fully focused, man, my money on my mindgot a mil' out the deal and i'm still on the grindnow shorty said she feelin' my style, she feelin' my flowher girlfriend willin' to get bi and they ready to goyou can find me in the club, bottle full of bub'look, mami, i got the x if you into takin' drugsi'm into havin' sex, i ain't into makin' loveso come give me a hug if you're into gettin' rubbedyou can find me in the club, bottle full of bub'look, mami, i got the x if you into takin' drugsi'm into havin' sex, i ain't into makin' loveso come give me a hug if you're into gettin' rubbedmy flow, my show brought me the doughthat bought me all my fancy thingsmy crib, my cars, my pools, my jewelslook, nigga, i done came up and i ain't changedand you should love it way more than you hate itnigga, you mad? i thought that you'd be happy i made iti'm that cat by the bar toastin' to the good lifeyou the faggot-ass nigga tryin' to pull me back, right?when my joint get to pumpin' in the club, it's oni wink my eye at your bitch, if she smiles, she goneif the roof on fire, let the motherfucker burnif you talkin' about money, homie, i ain't concernedi'ma tell you what banks told me:""cuz, go 'head, switch the style upif niggas hate then let them hate and watch the money pile up.""or we can go upside your head with a bottle of bub'they know where we fuckin' beyou can find me in the club, bottle full of bub'look, mami, i got the x if you into takin' drugsi'm into havin' sex, i ain't into makin' loveso come give me a hug if you're into gettin' rubbedyou can find me in the club, bottle full of bub'look, mami, i got the x if you into takin' drugsi'm into havin' sex, i ain't into makin' loveso come give me a hug if you're into gettin' rubbeddon't try to act like you don't know where we be neitherwe in the club all the time, so pop, pop off"
21,22,Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,77,"oh, her eyes, her eyesmake the stars look like they're not shinin'her hair, her hairfalls perfectly without her tryin'she's so beautiful and i tell her everydayyeah, i know, i knowwhen i compliment her, she won't believe meand it's so, it's sosad to think that she don't see what i seebut every time she asks me, ""do i look okay?""i saywhen i see your facethere's not a thing that i would change'cause you're amazingjust the way you areand when you smilethe whole world stops and stares for a while'cause girl, you're amazingjust the way you areyeahher lips, her lipsi could kiss them all day if she'd let meher laugh, her laughshe hates, but i think it's so sexyshe's so beautiful and i tell her everydayoh, you know, you knowyou know i'd never ask you to changeif perfect's what you're searchin' for, then just stay the sameso don't even bother askin' if you look okayyou know i'll saywhen i see your facethere's not a thing that i would change'cause you're amazingjust the way you areand when you smilethe whole world stops and stares for a while'cause girl, you're amazingjust the way you arethe way you arethe way you aregirl, you're amazingjust the way you arewhen i see your facethere's not a thing that i would change'cause you're amazingjust the way you areand when you smilethe whole world stops and stares for a while'cause girl, you're amazingjust the way you areyeah"
22,23,Crank That (Soulja Boy),Soulja Boy,atl hip hop,2007,140,74,74,-2,5,80,222,52,8,76,"soulja boy up in this (oh)watch me crank it watch me rollwatch me crank that soulja boythen super man that (oh)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watchsoulja boy up in this (oh)watch me crank it watch me rollwatch me crank that soulja boythen super man that (oh)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watchsoulja boy up in this (oh)watch me lean and watch me rocksuper man that (oh)then watch me crank that robocopsuper fresh, now watch me jockjocking on them haters manwhen i do that soulja boyi lean to the left and crank that thang(now yule)i'm jocking on yourand if we get the fightingthen i'm cocking on youryou catch me at your local partyyes i crank it everydayhaters get mad causei got me some bathin apessoulja boy up in this (oh)watch me crank itwatch me rollwatch me crank that soulja boythen super man that (oh)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watchsoulja boy up in this (oh)watch me crank it watch me rollwatch me crank that soulja boythen super man that (oh)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watchi'm bouncing on my toewatch me super soak that hoei'm gonna pass it to araband he gonna crank it off fo shohaters wanna be mesoulja boy, i'm the manthey be looking at my necksaying it's the rubber band man (man)watch me do it (watch me do it)dance (dance)let get to it (let get to it)nope, you can't do it like medoh, so don't do it like mefolk, i see you tryna do it like meman that shit was uglysoulja boy up in this (oh)watch me crank it watch me rollwatch me crank that soulja boythen super man that (oh)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watchsoulja boy up in this (oh)watch me crank it watch me rollwatch me crank that soulja boythen super man that (oh)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watchi'm to fresh off in this hoewatch me crank it watch me rollwatch me crank that roosevelti'm to fresh now watch me do itwatch me shuffle watch me yule.watch me crank that soulja boysuper man do itsuper man do itsuper man do itsoulja boy up in this (oh)watch me crank it watch me rollwatch me crank that soulja boythen super man that (oh)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watchsoulja boy up in this (oh)watch me crank it watch me rollwatch me crank that soulja boythen super man that (oh)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch me yule(crank that soulja boy)now watch"
23,24,Gasolina,Daddy Yankee,latin,2004,96,80,86,-6,8,75,193,33,6,76,"who's this? (oh)da-ddy yan-kee! (oh, oh)zúmbale mambo pa que mis gatas prendan los motoreszúmbale mambo pa que mis gatas prendan los motoreszúmbale mambo pa que mis gatas prendan los motoresque se preparen que lo que viene es pa que le den (¡duro!)mamita, yo sé que tú no te me vas a quitar (¡duro!)lo que me gusta es que tú te dejas llevar (¡duro!)todos los weekenes ella sale a vacilar (¡duro!)mi gata no para de janguear porquea ella le gusta la gasolina (dame más gasolina)cómo le encanta la gasolina (dame más gasolina)a ella le gusta la gasolina (dame más gasolina)cómo le encanta la gasolina (dame más gasolina)ella prende las turbinasno discriminano se pierde ni un party de marquesinase acicala hasta pa la esquinaluce tan bien que hasta la sombra le combinaasesina, me dominajanguea en carro, motoras y limosinasllena su tanque de adrenalinacuando escucha el reggaeton en la cocinaa ella le gusta la gasolina (dame más gasolina)cómo le encanta la gasolina (dame más gasolina)a ella le gusta la gasolina (dame más gasolina)cómo le encanta la gasolina (dame más gasolina) yoaquí nosotros somos los mejoresno te me ajoresen la pista nos llaman los matadorestú haces que cualquiera se enamorecuando bailas al ritmo de los tamboresesto va pa las gatas de todos colorespa las mayores, pa las menorespa las que son más zorras que los cazadorespa las mujeres que no apagan sus motorestenemos tú y yo algo pendientetú me debes algo y lo sabesconmigo ella se pierdeno le rinde cuentas a nadietenemos tú y yo algo pendientetú me debes algo y lo sabesconmigo ella se pierdeno le rinde cuentas a nadiezúmbale mambo pa que mis gatas prendan los motoreszúmbale mambo pa que mis gatas prendan los motoreszúmbale mambo pa que mis gatas prendan los motoresque se preparen que lo que viene es pa que le den (¡duro!)mamita, yo sé que tú no te me vas a quitar (¡duro!)lo que me gusta es que tú te dejas llevar (¡duro!)todos los weekenes ella sale a vacilar (¡duro!)mi gata no para de janguear porquea ella le gusta la gasolina (oh, oh)(dame más gasolina) (oh, oh)cómo le encanta la gasolina (oh, oh)(dame más gasolina) (oh, oh)a ella le gusta la gasolina (oh, oh)(dame más gasolina) (oh, oh)cómo le encanta la gasolina (oh, oh)(dame más gasolina) (oh, oh)oh, ohoh, ohoh, ohoh, oh"
24,25,Let Me Love You,Mario,dance pop,2004,95,58,66,-9,12,56,257,24,9,76,"mmmmyeahmmyeah, yeah, yeahmmuhyeahmmyeah, yeahbaby i just don't get itdo you enjoy being hurt?i know you smelled the perfumethe make-up on his shirtyou don't believe his storiesyou know that they're all liesbad as you are, you stick aroundand i just don't know whyif i was ya man (baby you'd)never worry bout (what i do)i'd be coming home (back to you)every night, doin' you rightyou're the type of woman (deserves good things)fist full of diamonds (hand full of rings)baby you're a star (i just want to show you, you are)you should let me love youlet me be the one togive you everything you want and needbaby good love and protectionmake me your selectionshow you the way love's supposed to bebaby you should let me love you, love you, love youlove you, yeahlistenyour true beauty's descriptionlooks so good that it hurtsyou're a dime plus ninety-nineand it's a shame don't even know what you're wortheverywhere you go they stop and stare'cause you're bad and it showsfrom your head to your toes, out of control, baby you knowif i was ya man (baby you'd)never worry bout (what i do)i'd be coming home (back to you)every night doin' you rightyou're the type of woman (deserves good things)fist full of diamonds (a hand full of rings)baby you're a star (i just want to show you, you are)you should let me love youlet me be the one togive you everything you want and needooh baby good love and protectionmake me your selectionshow you the way love's supposed to bebaby you should let meyou deserve better girl (you know you deserve better)we should be together girl (baby)with me and you it's whatever girl, heyso can we make this thing ours?you should let me love youlet me be the one togive you everything you want and needgood love and protectionmake me your selectionshow you the way love's supposed to beyou should let me love youlet me be the one togive you everything you want and needgood love and protectionmake me your selectionshow you the way love's supposed to beyou should let me love youlet me be the one togive you everything you want and needgood love and protectionmake me your selectionshow you the way love's supposed to be, yeahlet me love youthat's all you need baby"
25,26,Don't Stop The Music,Rihanna,barbadian pop,2008,123,67,84,-6,5,54,267,3,6,76,"please don't stop the music, music, musicplease don't stop the music, music, musicplease don't stop the music, music, musicplease don't stop the music, music, musicit's getting late, i'm making my way over to my favorite placei gotta get my body moving, shake the stress awayi wasn't looking for nobody when you looked my waypossible candidate, yeahwho knew, that you'd be up in here looking like you doyou're makin' staying over here impossiblebaby, i'm a say your aura is incredibleif you don't have to go, don'tdo you know what you started? i just came here to partybut now we're rockin' on the dance floor, actin' naughtyyour hands around my waist just let the music playwe're hand in hand, chest to chest, and now we're face to facei wanna take you awaylet's escape into the musicdj, let it playi just can't refuse itlike the way you do thiskeep on rockin' to itplease don't stop the, please don't stop the musici wanna take you awaylet's escape into the musicdj, let it playi just can't refuse itlike the way you do thiskeep on rockin' to itplease don't stop the, please don't stop the, please don't stop the musicbaby, are you ready 'cause it's gettin' colddon't you feel the passion ready to explode?what goes on between us no one has to knowthis is a private showdo you know what you started? i just came here to partybut now we're rockin' on the dance floor, actin' naughtyyour hands around my waist just let the music playwe're hand in hand, chest to chest, and now we're face to facei wanna take you awaylet's escape into the musicdj, let it playi just can't refuse itlike the way you do thiskeep on rockin' to itplease don't stop the, please don't stop the musici wanna take you awaylet's escape into the musicdj, let it playi just can't refuse itlike the way you do thiskeep on rockin' to itplease don't stop the, please don't stop the, please don't stop the musicplease don't stop the musicplease don't stop the music, music, musicplease don't stop the music, music, musici wanna take you awaylet's escape into the musicdj, let it playi just can't refuse itlike the way you do thiskeep on rockin' to itplease don't stop the, please don't stop the musici wanna take you awaylet's escape into the musicdj, let it playi just can't refuse itlike the way you do thiskeep on rockin' to itplease don't stop the, please don't stop the, please don't stop the musicplease don't stop the musicplease don't stop the music, music, musicplease don't stop the music, music, music, music, music, music, music"
26,27,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,detroit hip hop,2004,171,74,69,-5,34,6,322,1,26,76,"lookif you had one shot or one opportunityto seize everything you ever wanted in one momentwould you capture itor just let it slip? yohis palms are sweaty, knees weak, arms are heavythere's vomit on his sweater already, mom's spaghettihe's nervous, but on the surface he looks calm and readyto drop bombs, but he keeps on forgettin'what he wrote down, the whole crowd goes so loudhe opens his mouth, but the words won't come outhe's chokin' how everybody's jokin' nowthe clock's run out, time's up, over, blaowsnap back to reality, ope, there goes gravity, opethere goes rabbit, he choked, he's so mad, but he won'tgive up that easy, no, he won't have ithe knows his whole back's to these ropes, it don't matter, he's dopehe knows that, but he's broke, he's so stagnant, he knowswhen he goes back to this mobile home, that's when it'sback to the lab again, yo, this old rhapsodybetter go capture this moment and hope it don't pass him and(you better lose) yourself in the musicthe moment, you own it, you better never let it go (go)you only get one shot, do not miss your chance to blowthis opportunity comes once in a lifetime, yo(you better lose) yourself in the musicthe moment, you own it, you better never let it go (go)you only get one shot, do not miss your chance to blowthis opportunity comes once in a lifetime, yoyou betterhis soul's escapin' through this hole that is gapin'this world is mine for the takin', make me kingas we move toward a new world ordera normal life is borin', but superstardom'sclose to postmortem, it only grows harderhomie grows hotter, he blows, it's all overthese hoes is all on him, coast-to-coast showshe's known as the globetrotter, lonely roadsgod only knows he's grown farther from home, he's no fatherhe goes home and barely knows his own daughterbut hold your nose, 'cause here goes the cold waterthese hoes don't want him no more, he's cold productthey moved on to the next schmoe who flowshe nose-dove and sold nada, and so the soap operais told, it unfolds, i suppose it's old, partnerbut the beat goes onda-da-dom, da-dom, dah-dah, dah-dah(you better lose) yourself in the musicthe moment, you own it, you better never let it go (go)you only get one shot, do not miss your chance to blowthis opportunity comes once in a lifetime, yo(you better lose) yourself in the musicthe moment, you own it, you better never let it go (go)you only get one shot, do not miss your chance to blowthis opportunity comes once in a lifetime, yoyou betterno more games, i'ma change what you call ragetear this motherfuckin' roof off like two dogs cagedi was playin' in the beginnin', the mood all changedi've been chewed up and spit out and booed off stagebut i kept rhymin' and stepped right in the next cypherbest believe somebody's payin' the pied piperall the pain inside amplified by thefact that i can't get by with my nine-to-fiveand i can't provide the right type of life for my family'cause, man, these goddamn food stamps don't buy diapersand there's no movie, there's no mekhi phifer, this is my lifeand these times are so hard and it's gettin' even hardertryna feed and water my seed, plus teeter-tottercaught up between being a father and a prima donnababy mama drama, screamin' on her, too much for me to wannastay in one spot, another day of monotony'sgotten me to the point i'm like a snail, i've gotto formulate a plot or end up in jail or shotsuccess is my only motherfuckin' option, failure's notmom, i love you, but this trailer's got to goi cannot grow old in salem's lotso here i go, it's my shot, feet, fail me notthis may be the only opportunity that i got(you better lose) yourself in the musicthe moment, you own it, you better never let it go (go)you only get one shot, do not miss your chance to blowthis opportunity comes once in a lifetime, yo(you better lose) yourself in the musicthe moment, you own it, you better never let it go (go)you only get one shot, do not miss your chance to blowthis opportunity comes once in a lifetime, yoyou better(you can do anything you set your mind to, man)"
27,28,I Knew You Were Trouble.,Taylor Swift,dance pop,2012,77,47,62,-7,3,68,220,0,4,75,"once upon a timea few mistakes agoi was in your sightsyou got me aloneyou found meyou found meyou found mei guess you didn't careand i guess i liked thatand when i fell hardyou took a step backwithout mewithout mewithout meand he's long gonewhen he's next to meand i realizethe blame is on me'cause i knew you were trouble when you walked inso shame on me nowflew me to places i'd never been'til you put me down, ohi knew you were trouble when you walked inso, shame on me nowflew me to places i'd never beennow i'm lyin' on the cold hard groundoh, ohtrouble, trouble, troubleoh, ohtrouble, trouble, troubleno apologieshe'll never see you crypretends he doesn't knowthat he's the reason whyyou're drowningyou're drowningyou're drowningand i heard you moved onfrom whispers on the streeta new notch in your beltis all i'll ever beand now i seenow i seenow i seehe was long gonewhen he met meand i realizethe joke is on me, heyi knew you were trouble when you walked in (oh)so shame on me nowflew me to places i'd never been'til you put me down, ohi knew you were trouble when you walked inso shame on me nowflew me to places i'd never been, yeahnow i'm lyin' on the cold hard groundoh, oh (yeah)trouble, trouble, troubleoh, ohtrouble, trouble, troubleand the saddest fearcomes creepin' inthat you never loved meor heror anyoneor anythingyeahi knew you were trouble when you walked inso shame on me nowflew me to places i'd never been (never been)'til you put me down, ohi knew you were trouble when you walked in (knew it right there)so shame on me now (knew it right there)flew me to places i'd never been(ooh) now i'm lyin' on the cold hard groundoh, ohtrouble, trouble, trouble (oh)oh, ohtrouble, trouble, troublei knew you were trouble when you walked introuble, trouble, troublei knew you were trouble when you walked introuble, trouble, trouble"
28,29,Temperature,Sean Paul,dance pop,2005,125,60,95,-5,7,82,219,11,7,75,"the gal dem schillaci, sean da paulso me give it to, so me give to, so me give it to, to all girlsfive million and forty naughty shortybaby girl, all my girls, all my girls, sean da paul seywell woman the way the time cold i wanna be keepin' you warmi got the right temperature fi shelter you from the stormoh lord, and gal i got the right tactics to turn you on, and girl iwanna be the papa, you can be the mom, oh oh!make i see the gal them bruk out pon the floorfrom you don't want no worthless performerfrom you don't want no man wey can't turn you on galmake i see your hand them up on yacan't tan pon it long, naw eat no yam, no steam fish, nor no green bananabut down in jamaica we give it to you hot like a saunawell woman the way the time cold i wanna be keepin' you warmi got the right temperature fi shelter you from the stormoh lord, and gal i got the right tactics to turn you on, and girl iwanna be the papa, you can be the mom, oh oh!bumper exposed and gal you got your chest outbut you no wasters 'cause gal you impress outand if you des out a me you fi test out'cause i got the remedy to make you de-stress outme haffi flaunt it because me god bless outand girl if you want it you haffi confess outa no lie weh we need set speed a fi test the mattress outwell woman the way the time cold i wanna be keepin' you warmi got the right temperature fi shelter you from the stormoh lord, and gal i got the right tactics to turn you on, and girl iwanna be the papa, you can be the mom, oh oh!gal don't say me crazy now, this strangelove it a no bridgette and flava showtime fi a make baby now so stop gwaan like you a act shady yowoman don't play me now, 'cause a no fred sanford nor grady yomy lovin' is the way to go, my lovin' is the way to gowell woman the way the time cold i wanna be keepin' you warmi got the right temperature fi shelter you from the stormoh lord, and gal i got the right tactics to turn you on, and girl iwanna be the papa, you can be the mom, oh oh!when you roll with a player like me, with a bredda like me gal there is no otherno need to talk it right here just park it right here, keep it undercoverfrom me love how you fit inna you blouse and you fat inna you jeansand mi waan discovereverything 'bout you baby girl can you hear when me utter?well woman the way the time cold i wanna be keepin' you warmi got the right temperature fi shelter you from the stormoh lord, and gal i got the right tactics to turn you on, and girl iwanna be the papa, you can be the mom, oh oh!make i see the gal them bruk out pon the floorfrom you don't want no worthless performerfrom you don't want no man wey can't turn you on galmek i see your hand them up on yacan't tan pon it long, naw eat no yam, no steam fish, nor no green bananabut down in jamaica we give it to you hot like a saunawell woman the way the time cold i wanna be keepin' you warmi got the right temperature fi shelter you from the stormoh lord, and gal i got the right tactics to turn you on, and girl iwanna be the papa, you can be the mom, oh oh!oh oh! oh oh! oh oh!"
29,30,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2009,93,37,48,-8,12,14,216,74,3,75,"ooh-ooh-ooh, new yorkooh-ooh-ooh, new yorkgrew up in a town that is famous as a place of movie scenesnoise is always loudthere are sirens all around and the streets are meanif i can make it here, i can make it anywhere, that's what they sayseein' my face in lightsor my name in marquees found down on broadwayeven if it ain't all it seems, i got a pocketful of dreamsbaby, i'm from new yorkconcrete jungle where dreams are made ofthere's nothin' you can't donow you're in new yorkthese streets will make you feel brand-newbig lights will inspire youhear it for new york, new york, new yorkon the avenue, there ain't ever a curfew, ladies work so hardsuch a meltin' poton the corner sellin' rock, preachers pray to godhail a gypsy cabtakes me down from harlem to the brooklyn bridgesomeone sleeps tonight with a hunger far more than an empty fridgei'ma make it by any means, i got a pocketful of dreamsbaby, i'm from new yorkconcrete jungle where dreams are made ofthere's nothin' you can't donow you're in new yorkthese streets will make you feel brand-newbig lights will inspire youhear it for new york, new york, new yorkone hand in the air for the big citystreetlights, big dreams, all lookin' prettyno place in the world that can compareput your lighters in the air, everybody say, ""yeah-yeah, yeah-yeah""in new yorkconcrete jungle where dreams are made ofthere's nothin' you can't donow you're in new yorkthese streets will make you feel brand-newbig lights will inspire youhear it for new york"
30,31,Where Is The Love?,The Black Eyed Peas,dance pop,2003,94,69,84,-3,13,83,273,10,18,75,"people killin' people dyin'children hurtin', i hear them cryin'can you practice what you preachin'?would you turn the other cheek again?mama, mama, mama, tell us what the hell is goin' oncan't we all just get along?father, father, father help ussend some guidance from above'cause people got me, got me questioning(where's the love?)yo, what's going on with the world, momma?(where's the love?)yo, people living like they ain't got no mommas(where's the love?)i think they all distracted by the dramaand attracted to the trauma, mamma(where's the love?)i think they don't understand the conceptor the meaning of karma(where's the love?)overseas, yeah, they trying to stop terrorism(where's the love?)over here on the streets the police shoot the peopleput the bullets in 'em(where's the love?)but if you only got love for your own race(where's the love?)then you're gonna leave space for others to discriminate(where's the love?)and to discriminate only generates hateand when you hate then you're bound to get iratemadness is what you demonstrateand that's exactly how hate works and operatesman, we gotta set it straighttake control of your mind and just meditateand let your soul just gravitate to the loveso the whole world celebrate itpeople killin' people dyin'children hurtin', i hear them cryin'can you practice what you preachin'?would you turn the other cheek again?mama, mama, mama, tell us what the hell is goin' oncan't we all just get along?father, father, father help ussend some guidance from above'cause people got me, got me questioning(where's the love?)it just ain't the same, old ways have changed(where's the love?)new days are strange, is the world insane?(where's the love?)nation droppin' bombs killing our little ones(where's the love?)ongoing suffering as the youth die young(where's the love?)where's the love when a child gets murderedor a cop gets knocked downblack lives, not noweverybody matter to meall races, y'all don't like what i'm sayin'?haterade, tall caseseverybody hate somebody, guess we all racistblack eyed peas do a song about love and y'all hate thisall these protest with different colored faceswe was all born with a heartwhy we gotta chase it?and every time i look aroundevery time i look up, every time i look downno one's on a common ground(where's the love?)and if you never speak truth then you never know how love sounds(where's the love?)and if you never know love then you never know god, wow(where's the love?)where's the love y'all? i don't, i don't knowwhere's the truth y'all? i don't knowpeople killin' people dyin'children hurtin', i hear them cryin'could you practice what you preach?would you turn the other cheek?father, father, father help ussend some guidance from above'cause people got me, got me questioning(where's the love?)(where's the love?)love is the key(where's the love?)love is the answer(where's the love?)love is the solution(where's the love?)they don't want us to love(where's the love?)love is powerful(where's the love?)(where's the love?)my mama asked me why i never vote (never vote)'cause policemen want me dead and gone (dead and gone)that election looking like a joke (such a joke)and the weed man still sellin' dope (oh no)somebody gotta give these niggas hope (give us hope)all he ever wanted was a smoke (my gosh)said he can't breathe with his hands in the airlayin' on the ground died from a choke(where's the love?)i feel the weight of the world on my shouldersas i'm gettin' older y'all people gets coldermost of us only care about money makin'selfishness got us followin' the wrong directionwrong information always shown by the medianegative images is the main criteriainfecting the young minds faster than bacteriakids wanna act like what they see in the cinemaswhat happened to the love and the values of humanity?(where's the love?)what happened to the love and the fairness and equality?(where's the love?)instead of spreading love we're spreading animosity(where's the love?)lack of understanding leading us away from unity(where's the love?)"
31,32,Replay,Iyaz,dance pop,2009,91,75,71,-6,17,20,182,17,7,74,"shawty's like a melody in my headthat i can't keep out, got me singing likena-na-na-na, every dayit's like my ipod stuck on replay, replay-ay-ay-ayshawty's like a melody in my headthat i can't keep out, got me singing like (ayy)na-na-na-na, every dayit's like my ipod stuck on replay (j-j-j-jr), replayremember the first time we met?you was at the mall with your friendi was scared to approach ya, but then you came closerhoping you would give me a chancewho would have ever knewthat we would ever be more than friends?we're real worldwide, breaking all the rulesshe like a song played again and again(that girl) like something off a poster(that girl) is a dime they say(that girl) is a gun to my holsterand she's running through my mind all day, ayyshawty's like a melody in my headthat i can't keep out, got me singing like (ayy)na-na-na-na, every dayit's like my ipod stuck on replay, replay-ay-ay-ayshawty's like a melody in my headthat i can't keep out, got me singing like (ayy)na-na-na-na, every dayit's like my ipod stuck on replay, replay-ay-ay-aysee you been all around the globenot once did you leave my mindwe talk on the phone, from night 'til the morn'girl, you really changed my lifedoin' things i never doi'm in the kitchen cooking things she likeswe're real worldwide, breaking all the rulessomeday i wanna make you my wife(that girl) like something off a poster(that girl) is a dime they say (hey)(that girl) is a gun to my holsterand she's running through my mind all day, ayyshawty's like a melody in my headthat i can't keep out, got me singing like (ayy)na-na-na-na, every dayit's like my ipod stuck on replay, replay-ay-ay-ay (oh)shawty's like a melody in my headthat i can't keep out, got me singing like (ayy)na-na-na-na, everydayit's like my ipod stuck on replay, replay-ay-ay-ayi can be your melodyoh, girl, i could write you a symphonythe one that could fill your fantasiesso come baby girl, let's sing with me, ayyi can be your melodyoh, girl, i could write you a symphonythe one that could fill your fantasiesso come baby girl let's sing with me, ayyna, na-na, na-na, na-nana-na, na-na, na-naashawty got me singingna, na-na, na-na, na-nana-na, na-na, na-naanow she got me singingshawty's like a melody in my headthat i can't keep out, got me singing like (ayy)na-na-na-na, every dayit's like my ipod stuck on replay, replay-ay-ay-ay (ayy)shawty's like a melody (like a melody) in my headthat i can't keep out, got me singing like (hey, ayy)na-na-na-na, every dayit's like my ipod stuck on replay, replay-ay-ay-ay"
