,Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,text,Emotion
24,25,Attention,Charlie Puth,dance pop,2018,100,61,78,-5,13,80,209,11,5,82,"oh-oh, oohyou've been runnin' 'round, runnin' 'round, runnin' 'round throwin' that dirt all on my name'cause you knew that i, knew that i, knew that i'd call you upyou've been going 'round, going 'round, going 'round every party in l.a.'cause you knew that i, knew that i, knew that i'd be at one, ohi know that dress is karma, perfume regretyou got me thinking 'bout when you were mine, ohand now i'm all up on ya, what you expect?but you're not coming home with me tonightyou just want attention, you don't want my heartmaybe you just hate the thought of me with someone newyeah, you just want attention, i knew from the startyou're just making sure i'm never gettin' over youyou've been runnin' 'round, runnin' 'round, runnin' 'round throwing that dirt all on my name'cause you knew that i, knew that i, knew that i'd call you upbaby, now that we're, now that we're, now that we're right here standing face-to-faceyou already know, already know, already know that you won, ohi know that dress is karma (dress is karma), perfume regretyou got me thinking 'bout when you were mine (you got me thinking 'bout when you were mine)and now i'm all up on ya (all up on ya), what you expect? (oh baby)but you're not coming home with me tonight (oh no)you just want attention, you don't want my heartmaybe you just hate the thought of me with someone newyeah, you just want attention, i knew from the startyou're just making sure i'm never gettin' over you, ohwhat are you doin' to me, what are you doin', huh?(what are you doin'?)what are you doin' to me, what are you doin', huh?(what are you doin'?)what are you doin' to me, what are you doin', huh?(what are you doin'?)what are you doin' to me, what are you doin', huh?i know that dress is karma, perfume regretyou got me thinking 'bout when you were mineand now i'm all up on ya, what you expect?but you're not coming home with me tonightyou just want attention, you don't want my heartmaybe you just hate the thought of me with someone newyeah, you just want attention, i knew from the startyou're just making sure i'm never gettin' over you (over you)what are you doin' to me? (hey) what are you doin', huh? (what are you doin', what?)what are you doin', huh? (what are you doin' to me?)(what are you doin', huh?) (yeah, you just want attention)what are you doin' to me, what are you doin', huh? (i knew from the start)(you're just making sure i'm never gettin' over you) what are you doin' to me, what are you doin', huh?oh, oh",Sad
25,26,IDGAF,Dua Lipa,dance pop,2017,97,54,84,-6,8,51,218,4,9,82,"you call me, all friendly, tellin' me how much you miss methat's funny, i guess you've heard my songswell, i'm too busy for your business, go find a girl who wants to listen'cause if you think i was born yesterday, you have got me wrongso i cut you off, i don't need your love'cause i already cried enoughi've been done, i've been movin' onsince we said goodbyei cut you off, i don't need your loveso you can try all you wantyour time is up, i'll tell you whyyou say you're sorry, but it's too late nowso save it, get gone, shut up'cause if you think i care about you nowwell, boy, i don't give a -i remember that weekend when my best friend caught you creepin'you blamed it all on the alcoholso, i made my decision 'cause you made your bed, sleep in itplay the victim and switch your position, i'm through, i'm doneso i cut you off, i don't need your love'cause i already cried enoughi've been done, i've been movin' onsince we said goodbyei cut you off, i don't need your loveso you can try all you wantyour time is up, i'll tell you whyyou say you're sorry, but it's too late nowso save it, get gone, shut up'cause if you think i care about you nowwell, boy, i don't give a -i see you tryna get to mei see you beggin' on your kneesboy, i don't give a -so stop tryna get to meget up off your knees, 'causeboy, i don't give a -, uh, uhabout you, no, i don't give a damnyou keep reminiscin' on when you were my manbut i'm over you, now you're all in the pastyou talk all that sweet talk, but i ain't comin' backcut you off, i don't need your loveso you can try all you wantyour time is up, i'll tell you whyi'll tell you whyyou say you're sorry, but it's too late nowso save it, get gone, shut up(too late now)'cause if you think i care about you nowwell, boy, i don't give a -(boy, i don't give a-)i see you tryna get to mei see you beggin' on your kneesboy, i don't give a -so stop tryna get to me (get to me)get up off your knees, 'causeboy, i don't give a -, uh, uh",Sad
26,27,There's Nothing Holdin' Me Back,Shawn Mendes,canadian pop,2017,122,81,87,-4,8,97,199,38,6,82,"i wanna follow where she goesi think about her and she knows iti wanna let her take control'cause every time that she gets close, yeahshe pulls me in enough to keep me guessin', hmmand maybe i should stop and start confessin'confessin', yeahoh, i've been shakin'i love it when you go crazyyou take all my inhibitionsbaby, there's nothing holdin' me backyou take me places that tear up my reputationmanipulate my decisionsbaby, there's nothing holdin' me backthere's nothing holdin' me backthere's nothing holdin' me backshe says that she's never afraidjust picture everybody nakedshe really doesn't like to waitnot really into hesitationpulls me in enough to keep me guessin', whoa-ohand maybe i should stop and start confessin'confessin', yeahoh, i've been shakin'i love it when you go crazyyou take all my inhibitionsbaby, there's nothing holdin' me backyou take me places that tear up my reputationmanipulate my decisionsbaby, there's nothing holdin' me backthere's nothing holdin' me back'cause if we lost our minds and we took it way too fari know we'd be alright, i know we would be alrightif you were by my side and we stumbled in the darki know we'd be alright, i know we would be alright'cause if we lost our minds and we took it way too fari know we'd be alright, i know we would be alrightif you were by my side and we stumbled in the darki know we'd be alright, we would be alrightoh, i've been shakin'i love it when you go crazyyou take all my inhibitionsbaby, there's nothing holdin' me backyou take me places that tear up my reputationmanipulate my decisionsbaby, there's nothing holdin' me back, oh-whoathere's nothing holdin' me backi feel so free when you're with me, babybaby, there's nothing holdin' me back",Sad
27,28,Scared to Be Lonely,Martin Garrix,big room,2017,138,54,58,-8,26,20,221,9,6,81,"it was great at the very starthands on each othercouldn't stand to be far apartcloser the betternow we're picking fights and slamming doorsmagnifying all our flawsand i wonder why, wonder what forwhy we keep coming back for moreis it just our bodies? are we both losing our minds?is the only reason you're holding me tonight'cause we're scared to be lonely?do we need somebody just to feel like we're alright?is the only reason you're holding me tonight'cause we're scared to be lonely?too much time, losing track of uswhere was the real?undefined, spiraling out of touchforgot how it feelsit was great at the very starthands on each othercouldn't stand to be far apartcloser the betternow we're picking fights and slamming doorsmagnifying all our flawsand i wonder why, wonder what forwhy we keep coming back for moreis it just our bodies? are we both losing our minds?is the only reason you're holding me tonight'cause we're scared to be lonely?do we need somebody just to feel like we're alright?is the only reason you're holding me tonight'cause we're scared to be lonely?too much time, losing track of uswhere was the real?undefined, spiraling out of touchforgot how it feels",Happy
28,29,Whatever It Takes,Imagine Dragons,modern rock,2017,135,66,67,-5,12,56,201,4,3,81,"falling too fast to prepare for thistripping in the world could be dangerouseverybody circling, it's vulturousnegative, nepotisteverybody waiting for the fall of maneverybody praying for the end of timeseverybody hoping they could be the onei was born to run, i was born for thiswhip, whiprun me like a racehorsepull me like a ripcordbreak me down and build me upi wanna be the slip, slipword upon your lip, lipletter that you rip, ripbreak me down and build me upwhatever it takes'cause i love the adrenaline in my veinsi do whatever it takes'cause i love how it feels when i break the chainswhatever it takesyeah, take me to the top i'm ready forwhatever it takes'cause i love the adrenaline in my veinsi do what it takesalways had a fear of being typicallooking at my body feeling miserablealways hanging on to the visuali wanna be invisiblelooking at my years like a martyrdomeverybody needs to be a part of 'emnever be enough, i'm the prodigal soni was born to run, i was born for thiswhip, whiprun me like a racehorsepull me like a ripcordbreak me down and build me upi wanna be the slip, slipword upon your lip, lipletter that you rip, ripbreak me down and build me upwhatever it takes'cause i love the adrenaline in my veinsi do whatever it takes'cause i love how it feels when i break the chainswhatever it takesyeah, take me to the top, i'm ready forwhatever it takes'cause i love the adrenaline in my veinsi do what it takeshypocritical, egotisticaldon't wanna be the parenthetical, hypotheticalworking onto something that i'm proud of, out of the boxan epoxy to the world and the vision we've losti'm an apostrophei'm just a symbol to remind you that there's more to seei'm just a product of the system, a catastropheand yet a masterpiece, and yet i'm half-diseasedand when i am deceasedat least i go down to the grave and die happilyleave the body and my soul to be a part of theei do what it takeswhatever it takes'cause i love the adrenaline in my veinsi do whatever it takes'cause i love how it feels when i break the chainswhatever it takesyeah, take me to the top, i'm ready forwhatever it takes'cause i love the adrenaline in my veinsi do what it takes",Sad
29,30,Let Me Love You,DJ Snake,electronic trap,2016,100,72,65,-5,14,16,206,9,3,81,"i used to believewe were burning on the edge of something beautifulsomething beautifulselling a dreamsmoke and mirrors keep us waiting on a miracleon a miraclesay, go through the darkest of daysheaven's a heartbreak awaynever let you go, never let me downoh, it's been a hell of a ridedriving the edge of a knifenever let you go, never let me downdon't you give up, nah-nah-nahi won't give up, nah-nah-nahlet me love youlet me love youdon't you give up, nah-nah-nahi won't give up, nah-nah-nahlet me love youlet me love you(oh, baby, baby)don't fall asleepat the wheel, we've got a million miles ahead of usmiles ahead of usall that we needis a rude awakening to know we're good enough (yeah)know we're good enoughsay, go through the darkest of daysheaven's a heartbreak awaynever let you go, never let me downoh, it's been a hell of a ridedriving the edge of a knifenever let you go, never let me downdon't you give up, nah-nah-nahi won't give up, nah-nah-nahlet me love youlet me love youdon't you give up, nah-nah-nahi won't give up, nah-nah-nahlet me love youlet me love you(oh, baby, baby)whoa(girl, never let you go) woohoh, nah-nah-nah-nah(never let you go)yeah, yeah (girl, never let you go)don't you give up, nah-nah-nahi won't give up, nah-nah-nahlet me love youlet me love youdon't you give up, nah-nah-nahi won't give up, nah-nah-nahlet me love youlet me love you",Sad
30,31,i hate u i love u (feat. olivia o'brien),gnash,pop,2016,93,28,49,-13,10,18,251,69,30,81,"feeling used, but i'm still missing youand i can't see the end of thisjust wanna feel your kiss against my lipsand now all this time is passing bybut i still can't seem to tell you whyit hurts me every time i see yourealize how much i need youi hate you, i love youi hate that i love youdon't want to, but i can't put nobody else above youi hate you, i love youi hate that i want youyou want her, you need herand i'll never be herwhat about all the timesyou would pick me up and we'd just drivearound until we found a place to stay and waste the day awaywe'd do nothing but it was okay with meyou say it's not good to spend all my timethinking about you so late at nightbut i can't stop once i start it's like an avalanchethoughts coming and i just wanna hold your handhold your breath, i'm going undernot coming up 'til this night is overuntil this night is overi hate you, i love youi hate that i love youdon't want to, but i can't put nobody else above youi hate you, i love youi hate that i want youyou want her, you need herand i'll never be herall alone, i watch you watch herlike she's the only girl you've ever seenyou don't care, you never didyou don't give a damn about meyeah, all alone, i watch you watch hershe is the only thing you ever seehow is it you never notice that you are slowly killing mei hate you, i love youi hate that i love youdon't want to, but i can't put nobody else above youi hate you, i love youi hate that i want youyou want her, you need herand i'll never be her",Sad
31,32,Silence,Marshmello,brostep,2017,142,76,52,-3,17,29,181,26,9,80,"(no, oh yeah)yeah, i'd rather be a lover than a fighter (fighter)'cause all my life, i've been fightingnever felt a feeling of comfortall this time, i've been hidingand i never had someone to call my own, oh nahi'm so used to sharinglove only left me alonebut i'm at one with the silencei found peace in your violencecan't tell me there's no point in tryingi'm at one, and i've been quiet for too longi found peace in your violencecan't tell me there's no point in tryingi'm at one, and i've been silent for too longand i've been quiet for too longand i've been quiet for too longi've been quiet for too longi've been quiet for too longi'm in need of a savior, but i'm not asking for favorsmy whole life, i've felt like a burdeni think too much, and i hate iti'm so used to being in the wrong, i'm tired of caringloving never gave me a home, so i'll sit here in the silencei found peace in your violencecan't tell me there's no point in tryingi'm at one, and i've been quiet for too longi found peace in your violencecan't tell me there's no point in tryingi'm at one, and i've been silent for too longi've been quiet for too longi found peace in your violencecan't tell me there's no point in tryingi'm at one, and i've been quiet for too long",Happy
32,33,The Nights,Avicii,big room,2014,126,84,53,-5,25,65,177,2,4,80,"… once upon a younger yearwhen all our shadows disappearedthe animals inside came out to playwent face to face with all our fearslearned our lessons through the tearsmade memories we knew would never fade… one day, my father, he told me, ""son, don't let it slip away""he took me in his arms, i heard him say""when you get older your wild heart will live for younger daysthink of me if ever you're afraid""… he said, ""one day, you'll leave this world behindso live a life you will remember""my father told me when i was just a child""these are the nights that never die""my father told me… ""when thunderclouds start pouring downlight a fire they can't put outcarve your name into those shining stars""he said, ""go venture far beyond the shoresdon't forsake this life of yoursi'll guide you home no matter where you are""… one day, my father, he told me, ""son, don't let it slip away""when i was just a kid, i heard him say""when you get older your wild heart will live for younger daysthink of me if ever you're afraid""… he said, ""one day, you'll leave this world behindso live a life you will remember""my father told me when i was just a child""these are the nights that never die""my father told me… ""these are the nights that never die""my father told me… my father told me",Sad
33,34,Without You (feat. Sandro Cavazza),Avicii,big room,2017,134,86,66,-5,5,30,182,0,4,80,"you said that we would always bewithout you i feel lost at seathrough the darkness you'd hide with melike the wind we'd be wild and freeyousaid you'd follow me anywherebut your eyestell me you won't be therei got to learn how to love without youi got to carry my cross without youstuck in the riddle and i'm just about tofigure it out without youand i'm done sitting home without youfuck, i'm going out without youi'm going to tear this city down without youi'm going bonnie and clyde without younow i'm running away, my dearfrom myself and the truth i fearmy heart is beating, i can't see clearhow i'm wishing that you were hereyousaid you'd follow me anywherebut your eyestell me you won't be therei got to learn how to love without youi got to carry my cross without youstuck in the riddle and i'm just about tofigure it out without youand i'm done sitting home without youfuck, i'm going out without youi'm going to tear this city down without youi'm going bonnie and clyde without you",Sad
34,35,In the Name of Love,Martin Garrix,big room,2016,134,52,50,-6,45,17,196,11,4,80,"if i told you this was only gonna hurtif i warned you that the fire's gonna burnwould you walk in?would you let me do it first?do it all in the name of lovewould you let me lead you even when you're blind?in the darkness, in the middle of the nightin the silence, when there's no one by your sidewould you call in the name of love?in the name of love, name of lovein the name of love, name of lovein the name of(in the name, name)if i told you we could bathe in all the lightswould you rise up, come and meet me in the sky?would you trust me when you're jumping from the heights?would you fall in the name of love?when there's madness, when there's poison in your headwhen the sadness leaves you broken in your bedi will hold you in the depths of your despairand it's all in the name of lovein the name of love, name of lovein the name of love, name of lovein the name of(in the name, name)i wanna testifyscream in the holy lightyou bring me back to lifeand it's all in the name of lovei wanna testifyscream in the holy lightyou bring me back to lifeand it's all in the name of lovein the name of love, name of lovein the name of love, name of lovein the name of(in the name, name)",Sad
35,36,Faded,Alan Walker,electro house,2018,180,63,47,-5,11,16,212,3,5,80,"you were the shadow to my lightdid you feel us?another staryou fade awayafraid our aim is out of sightwanna see usalightwhere are you now?where are you now?where are you now?was it all in my fantasy?where are you now?were you only imaginary?where are you now?atlantisunder the seaunder the seawhere are you now?another dreamthe monster's running wild inside of mei'm fadedi'm fadedso lost, i'm fadedi'm fadedso lost, i'm fadedthese shallow waters never met what i neededi'm letting go a deeper diveeternal silence of the sea, i'm breathingalivewhere are you now?where are you now?under the bright but faded lightsyou've set my heart on firewhere are you now?where are you now?where are you now?atlantisunder the seaunder the seawhere are you now?another dreamthe monster's running wild inside of mei'm fadedi'm fadedso lost, i'm fadedi'm fadedso lost, i'm faded",Happy
36,37,Story of My Life,One Direction,boy band,2013,121,66,60,-6,12,29,245,23,5,80,"written in these walls are the stories that i can't explaini leave my heart open but it stays right here empty for daysshe told me in the morning she don't feel the same about us in her bonesit seems to me that when i die, these words will be written on my stoneand i'll be gone, gone tonightthe ground beneath my feet is open widethe way that i been holdin' on too tightwith nothin' in betweenthe story of my life, i take her homei drive all night to keep her warmand time is frozen (the story of, the story of)the story of my life, i give her hopei spend her love until she's broke insidethe story of my life (the story of, the story of)written on these walls are the colors that i can't changeleave my heart open, but it stays right here in its cagei know that in the morning, i'll see us in the light up on the hillalthough i am broken, my heart is untamed stilland i'll be gone, gone tonightthe fire beneath my feet is burnin' brightthe way that i've been holdin' on so tightwith nothin' in betweenthe story of my life, i take her homei drive all night to keep her warmand time is frozen (the story of, the story of)the story of my life, i give her hopei spend her love until she's broke insidethe story of my life (the story of, the story of)and i've been waiting for this time to come aroundbut, baby, runnin' after you is like chasin' the cloudsthe story of my life, i take her homei drive all night to keep her warmand time is frozenthe story of my life, i give her hope (give her hope)i spend her love until she's broke insidethe story of my life (the story of)the story of my lifethe story of my life (the story of, the story of)the story of my life",Sad
37,38,Solo (feat. Demi Lovato),Clean Bandit,dance pop,2018,105,64,74,-5,35,56,223,4,4,79,"you speak to meand in your words i hear a melodybut in the twilight it's so hard to seewhat's wrong for mei can't resistuntil you give the truth a little twistas if you're gonna get away with thisyou're not sorryi can't believe i fell for thisi fell through the holedown at the bottom of your souldidn't think you could goso lowlook at what you've doneyou're losing mehere's what you've wongot me planning to gosolosoloyou sing to metoo bad you couldn't even stay on keyif your life is such a mysterywhy don't you just stick to acting?oh, here you go again (go again)you couldn't find my number until when (until when)you thought that you could get to my best friendwithout a script your game is lackingi can't believe i fell for thisi fell through the holedown at the bottom of your souldidn't think you could goso lowlook at what you've doneyou're losing mehere's what you've wongot me planning to gosolosoloi'd rather go out to a party alonethan have to walk around with you on my armnow that i'm proud to admit that we're donegood luck trying to find me, oh'cause i didn't think you could goso lowlook at what you've doneyou're losing mehere's what you've wongot me planning to gosolonow we're done'cause you got me planning to gosolosolosolosolo",Sad
38,39,Love Lies (with Normani),Khalid,alternative r&b,2018,144,65,71,-6,13,34,202,10,4,79,"sorry if it's hard to catch my vibe, mmmi need a lover to trust, tell me you're on my sideare you down for the ride?it's not easy for someone to catch my eyebut i've been waiting for you for my whole damn lifefor my whole lifetimedon't be afraid to tell me if you ain't with iti see you're focused, yeah, you're so independentit's hard for me to open up, i'll admit ityou've got some shit to say, and i'm here to listenso, baby, tell me where your love lieswaste the day and spend the nightunderneath the sunriseshow me where your love liesi've been so into your mysteryis it because of our history?are you into me?when it feels so good, but it's bad for youcan't say i don't want it 'cause i know i docome on over, i need your companycraving that synergydon't be afraid to tell me if you ain't with iti see you're focused, yeah, you're so independentit's hard for me to open up, i'll admit ityou've got some shit to say, and i'm here to listenso, baby, tell me where your love lieswaste the day and spend the nightunderneath the sunriseshow me where your love liestell me where your love lieswaste the day and spend the nightunderneath the sunriseshow me where your love liesif you're down, don't hide itfeeling me, you don't gotta deny itbaby, you gon' make me overnight ittell me, are you down?if you're down, don't hide it (yeah)feeling me, you don't gotta deny it (yeah)baby, you gon' make me overnight ittell me, are you down? (tell me)tell me where your love lies (tell me where your love lies, yeah)waste the day and spend the night (waste the day, spend the night)underneath the sunrise (underneath the sunrise)show me where your love lies (tell me where your love lies)tell me where your love lies (show me where your love lies)waste the day and spend the night (yeah-yeah)underneath the sunrise (ooh)show me where your love lies",Happy
39,40,Little Do You Know,Alex & Sierra,neo mellow,2014,146,29,50,-9,19,37,185,75,3,79,"little do you knowhow i'm breakin' while you fall asleeplittle do you knowi'm still haunted by the memorieslittle do you knowi'm tryin' to pick myself up piece by piecelittle do you knowi need a little more timeunderneath it all i'm held captive by the hole insidei've been holding back for the fear that you might change your mindi'm ready to forgive you, but forgettin' is a harder fightlittle do you knowi need a little more timei'll wait, i'll waiti love you like you've never felt the paini'll waiti promise you don't have to be afraidi'll waitlove is here and here to stayso lay your head on melittle do you knowi know you're hurt while i'm sound asleeplittle do you knowall my mistakes are slowly drownin' melittle do you knowi'm tryin' to make it better piece by piecelittle do you know ii love you 'til the sun diesoh wait, just waiti love you like i've never felt the painjust waiti love you like i've never been afraidjust waitour love is here, and here to stayso lay your head on mei'll wait (i'll wait), i'll wait (i'll wait)i love you like you've never felt the paini'll wait (i'll wait)i promise you don't have to be afraidi'll waitlove is here, and here to stayso lay your head on melay your head on meso lay your head on me'cause little do you know ii love you 'til the sun dies",Happy
40,41,Mercy,Shawn Mendes,canadian pop,2017,148,66,56,-5,11,36,209,13,8,79,"you've got a hold of medon't even know your poweri stand a hundred feetbut i fall when i'm around yashow me an open doorthen you go and slam it on mei can't take anymorei'm saying, babyplease have mercy on metake it easy on my hearteven though you don't mean to hurt meyou keep tearing me apartwould you please have mercy, mercy on my heart?would you please have mercy, mercy on my heart?i'd drive through the nightjust to be near you, babyheart open, testifytell me that i'm not crazyi'm not asking for a lotjust that you're honest with memy pride is all i goti'm saying, babyplease have mercy on metake it easy on my hearteven though you don't mean to hurt meyou keep tearing me apartwould you please have mercy on mei'm a puppet on your stringsand even though you got good intentionsi need you to set me freewould you please have mercy, mercy on my heart?would you please have mercy, mercy on my heart?consuming all the air inside my lungsripping all the skin from off my bonesi'm prepared to sacrifice my lifei would gladly do it twiceconsuming all the air inside my lungsripping all the skin from off my bonesi'm prepared to sacrifice my lifei would gladly do it twiceoh, please have mercy on metake it easy on my hearteven though you don't mean to hurt meyou keep tearing me apartwould you please have mercy on me?i'm a puppet on your stringand even though you got good intentionsi need you to set me freei'm begging you for mercy, mercyi'm begging you, begging you, please, babyi'm begging you for mercy, mercyooh, i'm begging you, i'm begging you, yeah",Happy
41,42,Exchange,Bryson Tiller,pop,2015,160,43,53,-11,14,27,195,11,19,79,"this what happen when i think about youi get in my feelings, yeahi start reminiscing, yeahnext time around, fuck i want it to be different, yeahwaiting on a sign, guess it's time for a different prayerlord please save her for medo this one favor for mei had to change my player waysgot way to complicated for mei hope she's waiting for meeverywhere she go, they playin' my songthat's why i say the things that i saythat way i know you can't ignore mebut so, so (yeah)so gimme all of you in exchange for mejust give me all of you in exchange for me, for mebreak it down, yeahyes sir, checkwe used to lay up and then stay uphave sex and then blow danki shouldn't have played no games with youjust leveled up my ranklast time i saw you we ain't speak that was strangeguess it's nothing i can do, man it's true, exes change, yeahguess you changed for the better (better)i know you know how to make me jealousi was never loyal, let you tell it, yobut i'm ready to fix it if you ready, babybut so, so (yeah)so gimme all of you in exchange for mejust give me all of you in exchange for me, for mefor real shawtyyeah, i knowyeah, is you at two keys or tin roof?turn up with young tiller, we just getting loosemaybe, i'm low key feelin' you, don't be cynicalwon't fuck you over, wanna fuck you over and againthe truth is i ain't really here to start problemsgirl i swear to god, them hoes can't never say they got himknow how bad you wanna tell 'em, don't try himi don't wanna tell him, let's surprise 'emi don't wanna get into it, why you stressin' him, i've been drivin'back and fourth, from louisville to lexington, mileageon the whip, got your ass on my grip, collegemake you wanna strip for them dollarsnah, girl i got a job for youswear to god i can do a lot for yousaw you strollin' through the campus, i had to stop for youi was scrollin' through the 'gram, girl, i had to follow yousay what's up with you?you got my soul",Happy
42,43,One Last Time,Ariana Grande,dance pop,2014,125,59,63,-5,10,10,197,9,3,79,"i was a liari gave in to the firei know i should've fought itat least i'm being honestfeel like a failure'cause i know that i failed youi should've done you better'cause you don't want a liarand i know, and i know, and i knowshe gives you everythingbut, boy, i couldn't give it to youand i know, and i know, and i knowthat you got everythingbut i got nothing here without youso one last timei need to be the one who takes you homeone more timei promise, after that, i'll let you gobaby, i don't care if you got her in your heartall i really care is you wake up in my armsone last timei need to be the one who takes you homei don't deserve iti know i don't deserve itbut stay with me a minutei swear i'll make it worth itcan't you forgive me?at least just temporarilyi know that this is my faulti should've been more carefuland i know, and i know, and i knowshe gives you everythingbut, boy, i couldn't give it to youand i know, and i know, and i knowthat you got everythingbut i got nothing here without you, babyso one last timei need to be the one who takes you homeone more timei promise, after that i'll let you gobaby, i don't care if you got her in your heartall i really care is you wake up in my armsone last timei need to be the one who takes you home (la li he)i know i should've fought itat least i'm being honest (yeah)but stay with me a minutei swear i'll make it worth it, babe'cause i don't wanna be without you(oh)so one last timei need to be the one who takes you home (takes you home, babe)one more timei promise, after that i'll let you gobaby, i don't care if you got her in your heart (babe)all i really care is you wake up in my arms (wake up in my arms)one last timei need to be the one who takes you home (yeah)one last timei need to be the one who takes you home",Sad
43,44,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,78,"usheryeah, manso we back in the clubwith our bodies rockin' from side to sideside, side to side, uhthank god the week is donei feel like a zombie gone back to lifeback, back to lifehands up, uhyeah, suddenly we all got our hands up, uhno control of my bodyain't i seen you before?i think i remember those eyes, eyes, eyeseyes, eye-eyes'cause baby, tonightthe dj got us falling in love again (love again)yeah baby, tonightthe dj got us falling in love again (l-love again-gain)so dance, dance like it's the last, lastnight of your life, life, gon' get you right'cause baby, tonightthe dj got us falling in love again (l-love again-gain)keep downing drinks like there's no tomorrowthere's just right now, now, nownow, now-now, nowgon' set the roof on firegonna burn this motherf- down, down, downdown, down-down, down (come on)hands up, uhwhen the music drops, we both put our hands upput your hands on my bodyswear i've seen you beforei think i remember those eyes, eyes, eyeseyes, eye-eyes'cause baby, tonightthe dj got us falling in love again (love again)yeah, baby tonightthe dj got us falling in love again (l-love again-gain)so dance, dance like it's the last, lastnight of your life, life, gon' get you right'cause baby, tonightthe dj got us falling in love againusher, don't lie (oh)hear no evil, or speak no evil, or see no evilget it baby? hope you catch that like t-othat's how we roll, my life is a movie, and you just tivomami got me twisted like a dreadlockshe don't wrestle, but i got her in a headlockyabba-dabba-doo, make her bedrock, mami on fire, psh, red hotbada bing, bada boom, mr. worldwide as i step in the roomi'm a hustler baby, but that you knewand tonight it's just me and you'cause baby, tonight (dale)the dj got us falling in love again(mr. worldwide, yeah, yeah, let's take over the world)yeah baby, tonight (yeah, man)dj got us fallin' in love (dale, leggo)fallin' in love, oh-whoaso dance, dance like it's the last, lastnight of your life, life, gon' get you right'cause baby, tonight (come on, come on)the dj got us falling in love again (yeah)yeah baby, tonight (somebody get the djs up)the dj got us falling in love again (somebody get the djs up)(somebody get the hands up, get the hands up, get your hands up, ow, come on)so dance, dance like it's the last, lastnight of your life, life, gon' get you right'cause baby, tonightthe dj got us falling in love again (l-love again-gain)hahahayeah, thank you, dj, haha",Sad
44,45,Give Me Everything,Pitbull,dance pop,2011,129,94,67,-3,30,53,252,19,16,78,"me not working hard?yeah right picture that with a kodakand, better yet, go to times squaretake a picture of me with a kodaktook my life from negative to positiveand i just want y'all know thatand tonight, let's enjoy lifepitbull, nayer, ne-yo, tell us righttonight, i want all of you tonightgive me everything tonightfor all we know we might not get tomorrowlet's do it tonight(don't care what they sayall the games they playnothing is enoughtill they handle love)let's do it tonight(i want you tonighti want you to stayi want you tonight)grab somebody sexy, tell 'em heygive me everything tonightgive me everything tonightgive me everything tonightgive me everything tonighttake advantage of tonightcause tomorrow i'm off to dubai to perform for a princessbut tonight, i can make you my queenand make love to you endlessthis is insane: the way the name growin'money keep flowin' hustlers move asideso, i'm tiptoein', to keep flowin'i got it locked up like lindsay lohanput it on my life, babyi'll make you feel right, babycan't promise tomorrow, but i promise tonight (dale)excuse meand i might drink a little more than i should tonightand i might take you home with me, if i could tonightand, baby, i'ma make you feel so good, tonightcause we might not get tomorrowtonight, i want all of you tonightgive me everything tonightfor all we know we might not get tomorrowlet's do it tonight(don't care what they sayall the games they playnothing is enoughtill they handle love)let's do it tonight(i want you tonighti want you to stayi want you tonight)grab somebody sexy, tell 'em heygive me everything tonightgive me everything tonightgive me everything tonightgive me everything tonightreach for the stars, and if you don't grab themat least you'll fall on top of the worldthink about it, cause if you slip, i'm gon' fall on top your girlwhat i'm involved with is deeper than themasons, baby, baby, and it ain't no secretmy granny's from cuba,but i'm an american idol getting money like seacrestput it on my life, baby,i make you feel right, babycan't promise tomorrow, but i promise tonight (dale)excuse meand i might drink a little more than i should tonightand i might take you home with me, if i could tonightand, baby, i'ma make you feel so good, tonightcause we might not get tomorrowtonight, i want all of you tonightgive me everything tonightfor all we know we might not get tomorrowlet's do it tonight(don't care what they sayall the games they playnothing is enoughtill they handle love)let's do it tonight(i want you tonighti want you to stayi want you tonight)grab somebody sexy, tell 'em heygive me everything tonightgive me everything tonightgive me everything tonightgive me everything tonightexcuse mebut i might drink a little more than i should tonightand i might take you home with me if i could tonightand i think you should let me cause i look good tonightcause we might not get tomorrow",Sad
45,46,Waiting For Love,Avicii,big room,2015,128,74,58,-4,20,61,231,31,5,78,"where there's a will, there's a way, kind of beautifuland every night has its day, so magicaland if there's love in this life, there's no obstaclethat can't be defeatedfor every tyrant, a tear for the vulnerablein every lost soul, the bones of a miraclefor every dreamer, a dream, we're unstoppablewith something to believe inmonday left me brokentuesday, i was through with hopingwednesday, my empty arms were openthursday, waiting for love, waiting for lovethank the stars, it's fridayi'm burning like a fire gone wild on saturdayguess i won't be coming to church on sundayi'll be waiting for love, waiting for love to come aroundwe are one of a kind, irreplaceablehow did i get so blind and so cynical?if there's love in this life, we're unstoppableno, we can't be defeatedmonday left me brokentuesday, i was through with hopingwednesday, my empty arms were openthursday, waiting for love, waiting for lovethank the stars, it's fridayi'm burning like a fire gone wild on saturdayguess i won't be coming to church on sundayi'll be waiting for love, waiting for love to come around",Sad
